LastName;FirstName;GradeGerman;GradeEnglish;GradeMath
Aurelia;Georg;1;4;1
Daria;Leonhard;2;2;3
Emilija;Muhammad;1;2;2
Frida;Aras;4;2;1
Jasmin;Nikolaus;4;2;2
Larissa;Oscar;4;2;4
Carolina;Andreas;2;1;4
Diana;Leonardo;4;3;2
Erva;Levi;2;2;4
Eva;Max;1;1;1
Leona;Amar;4;5;2
Aisha;Damian;2;4;4
Amira;Fabio;3;4;1
Chiara;Laurin;2;1;1
Gloria;Mathias;4;2;2
Hiranur;Yasin;4;4;4
Liliana;Ahmet;2;2;4
Melanie;Bruno;1;4;1
Melek;Emanuel;4;5;2
Zehra;Kilian;2;2;4
Alice;Mihajlo;2;3;4
Ava;Otto;3;3;4
Caroline;Patrick;3;4;2
Eleonora;Ahmad;4;2;2
Fatma;Armin;4;1;2
Katarina;Ayaz;3;5;4
Lilly;Bilal;3;3;4
Luna;Dario;1;5;3
Maryam;Eduard;2;4;4
Mona;Ensar;3;5;2
Rosalie;Linus;3;2;5
Una;Robin;2;3;4
Zoe;Aleksander;2;2;2
Adriana;Alessio;2;4;1
Alisa;Arian;4;4;3
Ecrin;Christoph;1;2;3
Elsa;Emin;4;4;3
Fatima;Hüseyin;3;3;5
Florentina;Kaan;3;2;1
Leyla;Mark;2;3;2
Mariam;Markus;4;5;2
Natalia;Milan;3;5;2
Tara;Pavle;2;1;3
Aleksandra;Yi?it;1;3;1
Alya;Denis;3;2;2
Asya;James;4;2;1
Carla;Johann;3;2;2
Dilara;Kerem;3;4;3
Ema;Marco;4;1;2
Emelie;Alex;2;2;2
Eslem;Deniz;4;2;4
Esma;Eric;3;1;4
Fabienne;Hasan;3;1;4
Layla;Henry;4;2;3
Samira;Hugo;4;3;5
Zümra;Jason;2;2;4
Amine;Mohamed;3;2;2
Anika;Ruben;3;2;5
Emely;Taha;3;5;2
Fiona;Victor;4;1;4
Louise;Vito;4;5;2
Madeleine;William;4;2;3
Marlies;Angelo;4;1;2
Natalie;Bastian;2;2;2
Pauline;Jovan;3;2;2
Rabia;Laurenz;4;2;2
Rebecca;Levin;4;3;4
Romy;Maksim;3;3;2
Sumaya;Maxim;3;2;3
Alissa;Miloš;3;3;4
Gabriela;Mirac;3;4;4
Lilli;Mohammed;1;4;2
Marina;Nathan;2;1;3
Mavie;Nino;4;3;2
Medina;Rayan;4;3;3
Melisa;Umut;3;3;2
Michelle;Youssef;2;5;5
Milena;Amin;3;3;4
Tamara;Andrija;1;1;3
Adele;Daris;3;5;4
Anisa;Dominic;4;2;3
Ariana;Efe;2;1;2
Aurora;Jakub;4;3;4
Ayce;Joel;3;3;5
Cataleya;Joseph;3;3;3
Christina;Kian;4;3;4
Dunja;Leonidas;2;3;4
Frieda;Lion;3;4;3
Iris;Lionel;1;3;2
Isabel;Mahir;3;5;3
Ivana;Mario;3;5;4
Karla;Milo;2;5;3
Lejla;Miraç;4;3;2
Leni;Peter;2;4;1
Martina;Sami;3;2;3
Milica;Vasilije;3;2;2
Naomi;Alan;2;2;4
Nela;Alessandro;2;3;2
Philippa;Antoni;3;1;2
Samantha;Damjan;2;2;1
Sandra;Edin;4;4;4
Vera;Emilian;3;1;3
Yasmin;Emre;3;4;4
Zoey;Harun;4;2;2
Zuzanna;Henrik;1;4;4
Alicia;Jacob;3;3;2
Amalia;Karim;4;4;4
Belinay;Matheo;4;2;2
Celina;Musa;1;2;2
Defne;Niko;4;3;5
Eliza;Ryan;3;3;4
Ena;Sam;4;4;4
Isabell;Selim;2;3;3
Isra;Aleksa;3;4;2
Josefine;Aron;3;3;3
Josephine;Christopher;3;3;3
Kimberly;Danilo;2;4;3
Lotte;Dawid;2;2;5
Mariella;Diego;1;5;1
Marija;Ege;2;3;2
Merjem;Frederik;3;3;4
Nadia;Furkan;3;3;4
Nicole;Henri;3;1;2
Nika;Ilias;2;1;2
Noemi;Ilija;3;1;5
Sare;Jonah;4;4;2
Vivien;Jusuf;4;2;4
Zoé;Kevin;1;4;1
Ada;Malik;4;2;2
Andjela;Marlon;4;4;3
Annabelle;Marvin;2;3;4
Arin;Mateja;3;1;3
Ayla;Mika;3;1;4
Beatrice;Mohamad;4;2;5
Emine;Muhammet;3;3;3
Erina;Nils;2;5;4
Esra;Philip;2;1;3
Finja;Robert;2;2;2
Grace;Talha;3;4;4
Hafsa;Timo;1;3;5
Halima;Timon;4;4;1
Helene;Vinzent;4;1;1
Ilvy;Vinzenz;1;3;2
Ines;Vuk;4;5;1
Isabelle;Xaver;4;1;2
Iva;Yousef;3;4;4
Jasmina;Alparslan;3;2;1
Juliana;Bogdan;2;2;2
Leah;Davud;3;2;4
Lili;Dragan;2;2;1
Lilia;Eldin;3;4;2
Lily;Fatih;4;1;2
Marta;Fridolin;2;5;3
Nehir;Gregor;2;5;4
Rania;Gustav;1;4;4
Rita;Ilyas;1;4;3
Ronja;Ismail;4;5;2
Safija;Jad;1;4;4
Sana;Jayden;4;4;4
Selma;Justin;3;4;5
Tea;Kerim;2;3;2
Abigail;Kristian;4;3;5
Adelina;Leart;4;3;4
Agnes;Lorenzo;2;4;4
Ajla;Mahdi;4;4;2
Alea;Marc;1;5;4
Amélie;Marin;3;2;4
Anabella;Marius;4;5;4
Anouk;Matej;3;3;2
Ayse;Matthäus;3;3;3
Camilla;Melih;3;5;1
Dalia;Mihailo;2;5;2
Eda;Miran;2;3;5
Ellen;Musab;2;4;5
Emili;Nemanja;4;2;4
Eylül;Nicholas;2;3;3
Felicitas;Osman;4;3;2
Feyza;Phillip;1;2;5
Filippa;Roman;3;5;4
Hatice;Samir;3;3;5
Ilvie;Valentino;4;2;3
Iman;Vitus;4;5;5
Jovana;Zoran;2;3;4
Judith;Adrijan;4;2;4
Karolina;Aram;2;5;5
Kiara;Boris;4;4;5
Kristina;Burak;3;5;4
Larisa;Dejan;4;1;3
Layan;Diar;4;1;4
Lien;Dorian;4;2;4
Linnea;Elyas;3;4;2
Lotta;Emmanuel;4;1;3
Nadine;Enzo;4;2;4
Natalija;Fynn;3;3;3
Safiya;Halid;4;1;4
Sahra;Haris;3;3;4
Selin;Isa;3;2;4
Simona;Joshua;3;2;5
Stefanie;Juri;2;2;2
Tala;Khaled;2;3;2
Veronika;Konrad;1;1;2
Viola;Kuzey;2;4;1
Wiktoria;Lorik;1;4;4
Yara;Metehan;1;4;4
Yasmur;Murat;1;5;1
Adela;Nathaniel;4;4;3
Afra;Nikodem;4;3;1
Aischa;Onur;2;3;4
Alisha;Pablo;3;5;5
Aliya;Petar;3;3;1
Alva;Richard;3;5;5
Andrea;Rudolf;1;3;4
Arianna;Semih;4;3;5
Asmin;Severin;2;3;4
Beren;Teo;2;4;3
Carmen;Umar;3;2;5
Carolin;Uroš;1;5;4
Cecilia;Vladimir;1;5;3
Celine;Yigit;2;2;2
Corinna;Yunus;2;2;4
Delia;Abdul;4;2;4
Elin;Abdulrahman;3;4;2
Elise;Abubakar;3;2;1
Elvin;Adem;2;1;1
Esther;Adin;2;2;3
Fanny;Akif;4;3;5
Freya;Albert;4;5;4
Giulia;Aleksej;4;4;2
Hawa;Ammar;4;2;4
Hazal;Anatol;4;2;3
Hilal;Andjelo;1;1;2
Ikra;Andre;1;2;4
Ina;Andrei;4;4;1
Irina;André;4;2;3
Irma;Anuar;3;4;3
Ivona;Artur;1;3;4
Jelena;Ata;4;1;3
Jessica;Atilla;4;4;2
Juna;Aurelio;3;4;1
Khadija;Can;3;2;3
Klea;Carl;4;5;4
Laila;Cem;2;3;2
Leana;Danis;2;3;1
Leoni;Darian;3;3;3
Liana;Darius;2;2;4
Lilian;Devran;2;5;5
Lilith;Dimitrije;2;4;4
Liya;Dávid;4;3;2
Loreen;Ebubekir;2;5;2
Luana;Elijah;2;2;1
Mahsa;Eren;2;2;1
Marleen;Erturul;3;2;5
Martha;Faruk;4;3;2
Masa;Flynn;3;3;5
Masal;Halil;1;2;3
Maša;Hubert;3;5;3
Melinda;Imran;3;4;4
Merve;Jamie;3;3;4
Meyra;Jaron;4;4;2
Mihrimah;Jona;3;2;5
Miral;Levent;3;2;2
Nada;Marcus;2;5;4
Nikolija;Mattis;3;4;4
Nisanur;Maurice;4;4;2
Oliwia;Mayar;3;4;3
Patricia;Mihael;2;3;2
Petra;Miko?aj;4;2;3
Philomena;Muhamed;4;2;3
Rajana;Novak;2;2;3
Rana;Olivier;1;2;4
Saphira;Poyraz;3;2;5
Selena;Rayyan;4;4;3
Serena;Said;2;3;2
Sham;Tom;4;4;3
Shirin;Toprak;4;2;4
Sura;Tristan;4;4;2
Tina;Wenzel;3;4;4
Tuana;Yahya;3;2;5
Vesna;Yakup;3;3;1
Yuna;Yavuz;3;4;4
Zara;Yosef;2;2;2
Zeliha;Abdurrahman;3;2;3
Ajlin;Adil;2;2;4
Alba;Adnan;3;4;4
Alena;Ajan;4;5;3
Alessa;Ajdin;2;2;4
Alexa;Aleks;4;3;2
Aliki;Anas;4;3;2
Almina;Anes;3;2;3
Amanda;Anis;2;3;2
Andjelina;Anil;3;3;5
Anita;Aviel;3;5;3
Annalena;Ayan;4;5;4
Anne;Azad;3;2;3
Antonella;Bence;4;3;1
Asiya;Benedict;3;3;4
Asma;Charles;4;5;2
Aurela;Damir;3;5;4
Aya;Daniil;4;4;4
Bahar;Dušan;1;2;4
Beyza;Elia;4;2;4
Bianca;Eliah;3;3;2
Cara;Eliot;3;5;3
Daniela;Enis;4;4;2
Denise;Erdem;2;1;5
Dima;Ertugrul;3;4;3
Dora;Eryk;3;4;4
Ebrar;Ezra;3;1;2
Eleanor;Farhan;2;5;3
Elma;Fernando;4;1;3
Emilie;Franciszek;3;4;3
Enisa;Georgi;2;2;1
Evelin;Giulio;1;1;4
Fatema;Hector;2;2;2
Harleen;Hendrik;2;2;5
Heidi;Huzeyfe;2;3;4
Jacqueline;Ilja;2;3;5
Kaja;Kacper;3;1;3
Katalea;Kai;4;3;2
Kiana;Kamil;3;3;1
Kira;Kurt;1;5;4
Leontina;Lennox;2;1;3
Liselotte;Lewis;3;2;3
Lucy;Luke;3;3;3
Mara;Marijan;3;2;5
Margaretha;Marsel;3;2;2
Marjam;Matin;4;2;5
Mary;Miguel;3;5;2
Matea;Natan;4;1;1
Medine;Noam;3;4;3
Melis;Oliwier;1;2;3
Nadja;Pascal;4;2;2
Naya;Patrik;3;2;5
Nikola;Raul;4;3;4
Penelope;Riccardo;3;2;2
Ronya;Ridwan;1;4;1
Sahar;Roni;2;3;2
Sena;Rüzgar;2;2;3
Shanaya;Salih;2;1;1
Silvia;Santiago;4;1;2
Sina;Sascha;4;4;4
Sofie;Selman;3;3;2
Sümeyye;Sergej;3;3;4
Talia;Seyit;4;5;3
Teresa;Silas;2;5;3
Theodora;Stephan;3;3;4
Tiffany;Szymon;2;1;5
Zahra;Tamino;3;1;2
Zoë;Tarik;1;2;4
Alexis;Timotheus;1;3;3
Aleyna;Tyler;3;4;3
Ariya;Veljko;4;2;3
Asia;Wojciech;1;3;2
Asli;Yakub;2;2;4
Açelya;Yassin;3;3;4
Barbara;Zeno;4;3;1
Bella;Adis;4;3;3
Caitlyn;Alexei;4;3;3
Cansu;Alpaslan;4;5;2
Carlotta;Anil;4;2;3
Chloe;Anthony;2;1;2
Chloé;Arti;3;2;1
Claire;Artin;2;3;3
Coralie;Aryan;3;3;5
Danica;Atakan;4;2;4
Dea;Attila;3;3;4
Dorothea;Bela;1;3;4
Eleonore;Cristiano;3;2;1
Ellie;Dennis;1;2;4
Emira;Doruk;2;3;3
Gamze;Edgar;3;2;1
Hava;Emirhan;3;2;4
Israa;Ethan;4;4;2
Jona;Eyüp;4;2;2
Julie;Francisco;1;3;3
Juno;George;4;3;2
Kayra;Hussein;4;1;4
Kornelia;Joris;2;5;4
Leandra;Joschua;2;5;2
Lieselotte;Kristijan;1;4;4
Maia;Lennard;2;4;5
Malak;Lior;4;1;4
Margarita;Marcell;4;4;4
Mirjam;Maxime;3;4;1
Narin;Mitar;3;4;3
Nejla;Nathanael;2;2;5
Nuria;Nebojsa;2;2;4
Rachel;Nedim;4;1;4
Raphaela;Nenad;4;3;3
Ravza;Niclas;3;4;3
Rubi;Quentin;4;4;2
Sadaf;Salman;4;2;4
Sherin;Toni;4;3;4
Timea;Tusra;3;1;3
Zita;Peter;3;2;3
